Vext,Jext,Gfrac
0.21,-24.8,0.1
0.22,-24.8,0.1
0.23,-24.8,0.1
0.24,-24.8,0.1
0.25,-24.8,0.1
0.26,-24.8,0.1
0.27,-24.8,0.1
0.28,-24.9,0.1
0.29,-24.9,0.1
0.3,-24.8,0.1
0.31,-24.7,0.1
0.32,-24.7,0.1
0.33,-24.7,0.1
0.34,-24.7,0.1
0.35,-24.7,0.1
0.36,-24.7,0.1
0.37,-24.7,0.1
0.38,-24.7,0.1
0.39,-24.7,0.1
0.4,-24.6,0.1
0.41,-24.6,0.1
0.42,-24.6,0.1
0.43,-24.6,0.1
0.44,-24.6,0.1
0.45,-24.5,0.1
0.46,-24.5,0.1
0.47,-24.5,0.1
0.48,-24.5,0.1
0.49,-24.5,0.1
0.5,-24.4,0.1
0.51,-24.4,0.1
0.52,-24.3,0.1
0.53,-24.3,0.1
0.54,-24.2,0.1
0.55,-24.2,0.1
0.56,-24.1,0.1
0.57,-24.1,0.1
0.58,-24,0.1
0.59,-23.9,0.1
0.6,-23.8,0.1
0.61,-23.6,0.1
0.62,-23.4,0.1
0.63,-23.3,0.1
0.64,-23,0.1
0.65,-22.7,0.1
0.66,-22.2,0.1
0.67,-21.7,0.1
0.68,-21,0.1
0.69,-20.2,0.1
0.7,-19.3,0.1
0.71,-18,0.1
0.72,-16.3,0.1
0.73,-14.2,0.1
0.74,-11.6,0.1
0.75,-8.21,0.1
0.76,-3.91,0.1
0.77,1.53,0.1
0.78,8.43,0.1
0.79,17.2,0.1
0.8,28.2,0.1
0.81,41.9,0.1
0.82,58.9,0.1
0.83,79.7,0.1
0.84,105,0.1
0.85,135,0.1
0.86,171,0.1
0.87,213,0.1
0.88,261,0.1
0.89,315,0.1
0.9,377,0.1
0.91,444,0.1
0.92,518,0.1
0.93,597,0.1
0.94,682,0.1
0.95,773,0.1
0.96,868,0.1
0.97,968,0.1
0.98,1070,0.1
0.99,1180,0.1
1,1290,0.1
1.01,1410,0.1
1.02,1520,0.1
1.03,1640,0.1
1.04,1770,0.1
1.05,1890,0.1
1.06,2020,0.1
1.07,2150,0.1
1.08,2280,0.1
1.09,2420,0.1
1.1,2550,0.1
1.11,2690,0.1
1.12,2820,0.1
1.13,2960,0.1
1.14,3110,0.1
1.15,3250,0.1
1.16,3390,0.1
1.17,3530,0.1
1.18,3680,0.1
1.19,3830,0.1
1.2,3970,0.1
1.21,4120,0.1
1.22,4270,0.1
1.23,4420,0.1
1.24,4570,0.1
1.25,4720,0.1
